Latitude;Longitude;ID;Nom
15.870000;-57.480000;4100300;BOUEE_ANTILLES
43.380000;7.840000;6100001;BOUEE_COTE D'AZUR
42.070000;4.660000;6100002;BOUEE_LION
45.200000;-5.000000;62001;BOUEE_GASCOGNE
47.500000;-8.400000;62163;BOUEE_BRITTANY
49.700000;-0.400000;BATFR02;
50.800000;-1.100000;BATFR03;
-28.500000;38.299990;BATFR04;
19.100000;123.200000;BATFR05;
-45.300000;73.200000;BATFR08;
37.200000;1.600000;BATFR09;
43.300000;5.400000;BATFR11;
17.899990;-76.700000;BATFR13;
45.700000;-30.400000;BATFR14;
53.500000;9.900000;BATFR15;
17.800000;-76.099990;BATFR16;
36.100000;-6.900000;BATFR18;
42.500000;6.800000;BATFR20;
42.800000;7.300000;BATFR21;
42.500000;6.900000;BATFR22;
38.900000;8.300000;BATFR23;
43.000000;7.500000;BATFR24;
50.400000;-6.300000;BATFR27;
41.700000;-69.599990;BATFR28;
50.000000;-1.700000;BATFR29;
42.400000;7.100000;BATFR31;
43.300000;5.300000;BATFR33;
48.100000;-7.300000;BATFR34;
-17.500000;-149.699990;BATFR35;
-18.399990;-147.699990;BATFR36;
47.800000;-4.400000;BATFR39;
37.500000;15.200000;BATFR41;
18.000000;-68.400000;BATFR43;
-2.800000;53.700000;BATFR45;
42.000000;3.700000;BATFR46;
49.200000;-4.000000;BATFR52;
-6.800000;39.299990;BATFR55;
25.700000;-90.100000;BATFR56;
-23.000000;168.300000;BATFR59;
45.200000;-0.700000;BATFR60;
48.300000;-5.099990;BATFR63;
43.000000;7.400000;BATFR66;
